,GloGEM,OGGM,PyGEM
ALSEK,2070-01-01,2077-01-01,2065-01-01
COLUMBIA,2042-01-01,2038-01-01,2032-01-01
COLVILLE,2014-01-01,2026-01-01,2020-01-01
COPPER,2086-01-01,2086-01-01,2068-01-01
FRASER,2034-01-01,2034-01-01,2030-01-01
KUSKOKWIM,2063-01-01,2030-01-01,2030-01-01
MACKENZIE,2026-01-01,2031-01-01,2026-01-01
NASS,2058-01-01,2039-01-01,2039-01-01
NUSHAGAK,2027-01-01,2027-01-01,2024-01-01
NELSON,2045-01-01,2034-01-01,2032-01-01
SKAGIT,2024-01-01,2027-01-01,2024-01-01
SKEENA,2023-01-01,2030-01-01,2027-01-01
STIKINE,2058-01-01,2038-01-01,2039-01-01
SUSITNA,2084-01-01,2077-01-01,2059-01-01
TAKU,2060-01-01,2058-01-01,2038-01-01
YUKON,2086-01-01,2086-01-01,2079-01-01
DANUBE,2025-01-01,2021-01-01,2023-01-01
DRAMSELVA,2046-01-01,2037-01-01,2034-01-01
GLOMAA,2047-01-01,2044-01-01,2036-01-01
JOKULSA A FJOLLUM,2084-01-01,2088-01-01,2090-01-01
KALIXALVEN,2046-01-01,2045-01-01,2036-01-01
LAGARFLJOT,2081-01-01,2064-01-01,2074-01-01
LULEALVEN,2045-01-01,2042-01-01,2038-01-01
OLFUSA,2072-01-01,2053-01-01,2062-01-01
PO,2028-01-01,2020-01-01,2023-01-01
RHINE,2026-01-01,2018-01-01,2020-01-01
RHONE,2030-01-01,2024-01-01,2026-01-01
SVARTA,2081-01-01,2068-01-01,2076-01-01
THJORSA,2080-01-01,2060-01-01,2076-01-01
TORNEALVEN,2032-01-01,2038-01-01,2031-01-01
ARAL SEA,2062-01-01,2051-01-01,2056-01-01
BRAHMAPUTRA,2034-01-01,2030-01-01,2028-01-01
CHUY,2030-01-01,2035-01-01,2032-01-01
HAR US NUUR,2034-01-01,2034-01-01,2028-01-01
GANGES,2038-01-01,2059-01-01,2036-01-01
INDIGIRKA,2016-01-01,2030-01-01,2027-01-01
INDUS,2080-01-01,2062-01-01,2062-01-01
IRRAWADDY,2062-01-01,2041-01-01,2015-01-01
KAMCHATKA,2052-01-01,2084-01-01,2044-01-01
KUBAN,2020-01-01,2016-01-01,2016-01-01
LAKE BALKHASH,2034-01-01,2037-01-01,2038-01-01
MEKONG,2028-01-01,2032-01-01,2027-01-01
OB,2034-01-01,2036-01-01,2034-01-01
SALWEEN,2027-01-01,2025-01-01,2024-01-01
TALAS,2024-01-01,2028-01-01,2028-01-01
TARIM HE,2070-01-01,2070-01-01,2075-01-01
UVS NUUR,2034-01-01,2026-01-01,2026-01-01
YANGTZE,2050-01-01,2050-01-01,2046-01-01
YELLOW RIVER,2032-01-01,2032-01-01,2033-01-01
YSYK-KOL,2030-01-01,2034-01-01,2034-01-01
AISEN,2018-01-01,2022-01-01,2021-01-01
AMAZON,2025-01-01,2026-01-01,2024-01-01
AZOPARDO,2048-01-01,2048-01-01,2036-01-01
BAKER,2022-01-01,2026-01-01,2025-01-01
BIOBIO,2019-01-01,2023-01-01,2012-01-01
CHICO,2022-01-01,2022-01-01,2022-01-01
CISNES,2021-01-01,2024-01-01,2022-01-01
COLORADO,2042-01-01,2042-01-01,2042-01-01
COPIAPO,2049-01-01,2048-01-01,2053-01-01
HUASCO,2051-01-01,2044-01-01,2044-01-01
MAGDALENA,2020-01-01,2026-01-01,2024-01-01
MAJES,2020-01-01,2027-01-01,2027-01-01
NEGRO,2022-01-01,2029-01-01,2022-01-01
OCONA,2028-01-01,2026-01-01,2032-01-01
PALENA,2020-01-01,2015-01-01,2018-01-01
PASCUA,2061-01-01,2088-01-01,2076-01-01
PUELO,2021-01-01,2014-01-01,2016-01-01
RAPEL,2016-01-01,2013-01-01,2019-01-01
SANTA,2026-01-01,2024-01-01,2022-01-01
SANTA CRUZ,2048-01-01,2056-01-01,2048-01-01
SERRANO,2026-01-01,2028-01-01,2036-01-01
TITICACA,2026-01-01,2030-01-01,2024-01-01
VALDIVIA,2026-01-01,2039-01-01,2025-01-01
YELCHO,2017-01-01,2016-01-01,2016-01-01
CLUTHA,2050-01-01,2039-01-01,2022-01-01
